"c..jensen....nielsen....hansen....pedersen....andersen....aps..." "c..jensen....nielsen....hansen....pedersen....andersen....aps....1" "c.29134L..27832L..24532L..17437L..16790L..15835L..13691L..12722L.."
"1" "jensen" "jensen" 29134
"2" "nielsen" "nielsen" 27832
"3" "hansen" "hansen" 24532
"4" "pedersen" "pedersen" 17437
"5" "andersen" "andersen" 16790
"6" "aps" "aps" 15835
"7" "larsen" "larsen" 13691
"8" "michael" "michael" 12722
"9" "christensen" "christensen" 12016
"10" "peter" "peter" 11862
"11" "sørensen" "sorensen" 11578
"12" "petersen" "petersen" 10229
"13" "henrik" "henrik" 10123
"14" "rasmussen" "rasmussen" 9704
"15" "jørgensen" "jorgensen" 9380
"16" "christian" "christian" 9166
"17" "thomas" "thomas" 8784
"18" "lars" "lars" 8649
"19" "jan" "jan" 8638
"20" "martin" "martin" 8550
"21" "kim" "kim" 8158
"22" "erik" "erik" 7762
"23" "jens" "jens" 7232
"24" "madsen" "madsen" 6932
"25" "maria" "maria" 6927
"26" "søren" "soren" 6672
"27" "jesper" "jesper" 6627
"28" "olsen" "olsen" 6560
"29" "morten" "morten" 6285
"30" "jørgen" "jorgen" 6173
"31" "ole" "ole" 6167
"32" "kristensen" "kristensen" 6130
"33" "marie" "marie" 6020
"34" "niels" "niels" 6009
"35" "john" "john" 5938
"36" "møller" "moller" 5925
"37" "susanne" "susanne" 5892
"38" "per" "per" 5871
"39" "pia" "pia" 5723
"40" "mette" "mette" 5593
"41" "hans" "hans" 5588
"42" "brian" "brian" 5463
"43" "anne" "anne" 5447
"44" "helle" "helle" 5379
"45" "louise" "louise" 5199
"46" "charlotte" "charlotte" 5176
"47" "anders" "anders" 5066
"48" "claus" "claus" 4839
"49" "tina" "tina" 4776
"50" "allan" "allan" 4523
"51" "marianne" "marianne" 4434
"52" "kenneth" "kenneth" 4276
"53" "christina" "christina" 4253
"54" "hanne" "hanne" 4184
"55" "gitte" "gitte" 4164
"56" "thomsen" "thomsen" 4123
"57" "ali" "ali" 4119
"58" "steen" "steen" 4115
"59" "flemming" "flemming" 4042
"60" "christiansen" "christiansen" 4034
"61" "heidi" "heidi" 4019
"62" "lene" "lene" 4000
"63" "johansen" "johansen" 3903
"64" "lund" "lund" 3868
"65" "camilla" "camilla" 3852
"66" "carsten" "carsten" 3848
"67" "daniel" "daniel" 3817
"68" "poul" "poul" 3800
"69" "lone" "lone" 3741
"70" "kirsten" "kirsten" 3703
"71" "rene" "rene" 3659
"72" "poulsen" "poulsen" 3655
"73" "holm" "holm" 3652
"74" "torben" "torben" 3574
"75" "kristian" "kristian" 3552
"76" "dennis" "dennis" 3534
"77" "rasmus" "rasmus" 3406
"78" "frank" "frank" 3334
"79" "bent" "bent" 3251
"80" "jacob" "jacob" 3229
"81" "jacobsen" "jacobsen" 3213
"82" "dorthe" "dorthe" 3174
"83" "mortensen" "mortensen" 3151
"84" "karina" "karina" 3104
"85" "knudsen" "knudsen" 3104
"86" "bjarne" "bjarne" 3066
"87" "rikke" "rikke" 3048
"88" "pernille" "pernille" 3034
"89" "jette" "jette" 2963
"90" "johnny" "johnny" 2915
"91" "mads" "mads" 2886
"92" "jakobsen" "jakobsen" 2843
"93" "henning" "henning" 2831
"94" "kasper" "kasper" 2779
"95" "birgitte" "birgitte" 2729
"96" "finn" "finn" 2725
"97" "annette" "annette" 2700
"98" "anette" "anette" 2677
"99" "elisabeth" "elisabeth" 2674
"100" "rené" "rene" 2658
"101" "anna" "anna" 2654
"102" "mohamed" "mohamed" 2640
"103" "mikkel" "mikkel" 2635
"104" "ahmed" "ahmed" 2608
"105" "lykke" "lykke" 2587
"106" "frederiksen" "frederiksen" 2538
"107" "bente" "bente" 2504
"108" "leif" "leif" 2474
"109" "schmidt" "schmidt" 2429
"110" "tommy" "tommy" 2429
"111" "kurt" "kurt" 2409
"112" "mikkelsen" "mikkelsen" 2408
"113" "olesen" "olesen" 2404
"114" "anja" "anja" 2378
"115" "dan" "dan" 2354
"116" "jonas" "jonas" 2335
"117" "linda" "linda" 2321
"118" "svend" "svend" 2305
"119" "jeanette" "jeanette" 2295
"120" "lasse" "lasse" 2278
"121" "kjær" "kjaer" 2226
"122" "vibeke" "vibeke" 2218
"123" "bjørn" "bjorn" 2172
"124" "jakob" "jakob" 2163
"125" "inge" "inge" 2150
"126" "simon" "simon" 2145
"127" "dahl" "dahl" 2133
"128" "andreas" "andreas" 2126
"129" "preben" "preben" 2112
"130" "karen" "karen" 2101
"131" "skov" "skov" 2091
"132" "ulla" "ulla" 2087
"133" "arne" "arne" 2072
"134" "klaus" "klaus" 2068
"135" "karin" "karin" 2067
"136" "eva" "eva" 2063
"137" "henriksen" "henriksen" 2060
"138" "mogens" "mogens" 2055
"139" "juul" "juul" 2048
"140" "jane" "jane" 2047
"141" "lise" "lise" 2021
"142" "mohammad" "mohammad" 2000
"143" "lisbeth" "lisbeth" 1990
"144" "david" "david" 1972
"145" "laursen" "laursen" 1972
"146" "knud" "knud" 1955
"147" "service" "service" 1955
"148" "dorte" "dorte" 1954
"149" "emil" "emil" 1940
"150" "birgit" "birgit" 1925
"151" "hassan" "hassan" 1923
"152" "malene" "malene" 1882
"153" "trine" "trine" 1852
"154" "bettina" "bettina" 1830
"155" "henriette" "henriette" 1826
"156" "karsten" "karsten" 1782
"157" "anita" "anita" 1779
"158" "benny" "benny" 1776
